time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2014-05-06T20:52:26.540Z,-36.3905,-96.8083,9.94,6.1,mwb,,42,19.751,1.18,us,usb000qcg4,2014-05-09T18:15:48.000Z,"West Chile Rise",earthquake
2014-05-06T14:50:14.060Z,19.6581,99.5266,10,4.6,mb,,58,1.003,0.78,us,usb000qc0x,2014-05-07T05:01:18.043Z,"1km W of Mae Suai, Thailand",earthquake
2014-05-06T12:58:50.420Z,-7.048,124.8609,35,4.5,mb,,69,2.753,1.15,us,usb000qbyl,2014-05-06T21:01:19.155Z,"184km NNW of Dili, East Timor",earthquake
2014-05-06T12:18:32.980Z,-5.5625,151.8023,57.28,4.9,mb,,41,5.979,0.82,us,usb000qby0,2014-05-06T20:20:59.927Z,"143km SSW of Kokopo, Papua New Guinea",earthquake
2014-05-06T11:24:31.230Z,-21.9808,-179.2827,592.02,4.7,mb,,97,4.903,1.02,us,usb000qbwg,2014-05-06T19:27:44.777Z,"159km SSW of Ndoi Island, Fiji",earthquake
2014-05-06T06:23:04.990Z,-6.3287,154.7548,77.14,5,mb,,28,6,0.93,us,usb000qbqi,2014-05-06T14:25:44.856Z,"80km W of Panguna, Papua New Guinea",earthquake
2014-05-06T04:32:06.400Z,-20.0898,-177.6545,551.54,5.7,mb,,98,4.685,1.03,us,usb000qbni,2014-05-06T13:56:29.000Z,"125km ENE of Ndoi Island, Fiji",earthquake
2014-05-06T00:58:21.460Z,19.6198,99.4607,10,5,mb,,39,0.938,0.77,us,usb000qbj8,2014-05-13T13:54:01.657Z,"9km WSW of Mae Suai, Thailand",earthquake
2014-05-06T00:50:16.630Z,19.7025,99.6059,10,4.9,mb,,43,1.082,1.18,us,usb000qbj3,2014-05-06T02:00:16.329Z,"8km NE of Mae Suai, Thailand",earthquake
2014-05-05T23:00:22.610Z,41.4585,142.257,76.38,4.6,mb,,134,0.873,0.92,us,usb000qbf2,2014-05-06T01:45:18.501Z,"89km ENE of Mutsu, Japan",earthquake
2014-05-05T22:52:25.290Z,-19.9358,-70.8812,26.25,5,mb,,74,0.789,1.47,us,usb000qbe3,2014-05-10T20:06:17.000Z,"83km WNW of Iquique, Chile",earthquake
2014-05-05T13:38:31.650Z,-20.2948,-68.1203,175.71,4.9,mb,,57,0.982,1.08,us,usb000qag8,2014-05-05T21:41:08.280Z,"123km W of Colchani, Bolivia",earthquake
2014-05-05T13:19:47.550Z,-5.5315,131.3758,92.18,4.7,mb,,41,2.436,0.75,us,usb000qafq,2014-05-05T21:22:20.210Z,"152km W of Tual, Indonesia",earthquake
2014-05-05T13:03:46.090Z,-15.8618,167.7635,173.77,5.3,mb,,54,9.943,0.79,us,usb000qaff,2014-05-05T21:07:08.802Z,"46km ENE of Norsup, Vanuatu",earthquake
2014-05-05T12:12:35.000Z,67.7115,-162.6393,22.5,4.6,ml,41,143.999988480001,,0.95,ak,ak11251745,2014-05-15T01:45:20.728Z,"21km NE of Noatak, Alaska",earthquake
2014-05-05T11:59:14.000Z,67.7395,-162.5954,29,4.5,ml,20,140.399988768001,,0.9,ak,ak11251631,2014-05-15T01:42:02.242Z,"20km NE of Noatak, Alaska",earthquake
2014-05-05T11:52:43.820Z,-14.1766,172.3627,597.45,4.8,mb,,53,6.521,0.7,us,usb000qad4,2014-05-05T19:55:14.066Z,"Vanuatu region",earthquake
2014-05-05T11:21:17.190Z,-20.2082,-70.7817,14.61,5.4,mb,,136,0.847,0.62,us,usb000qacr,2014-05-06T04:18:33.000Z,"66km W of Iquique, Chile",earthquake
2014-05-05T11:08:43.880Z,19.7026,99.6826,7.36,6,mwp,,25,1.125,1.01,us,usb000qack,2014-05-08T06:54:45.943Z,"9km S of Mae Lao, Thailand",earthquake
2014-05-05T10:52:24.590Z,-33.5506,-67.4131,186.12,4.7,mb,,105,2.76,0.9,us,usb000qac5,2014-05-05T17:29:15.183Z,"104km WSW of San Luis, Argentina",earthquake
2014-05-05T09:02:55.820Z,-19.3601,-70.9703,23.92,4.8,mb,,93,0.833,1.48,us,usb000qaa2,2014-05-05T17:05:21.862Z,"120km SW of Arica, Chile",earthquake
2014-05-05T08:28:03.010Z,23.9771,122.4376,25.02,4.7,mb,,89,0.715,1.14,us,usb000qa9k,2014-05-05T16:30:40.930Z,"78km SW of Yonakuni, Japan",earthquake
2014-05-05T06:27:47.910Z,-19.2873,-71.0031,26.91,4.7,mb,,140,0.885,1.13,us,usb000qa7q,2014-05-05T15:56:28.000Z,"116km SW of Arica, Chile",earthquake
2014-05-05T05:54:26.470Z,-19.8815,-70.9609,19.57,4.7,mb,,143,0.838,0.99,us,usb000qa77,2014-05-05T15:54:09.000Z,"93km WNW of Iquique, Chile",earthquake
2014-05-05T05:14:10.920Z,-26.8532,-71.2515,10,4.6,mb,,145,2.204,1.29,us,usb000qa6g,2014-05-05T13:16:37.905Z,"107km WNW of Copiapo, Chile",earthquake
